qid,leader,ccode,iso3,country,start_year,end_year,theta,theta_se,theta_inst,theta_cult,gwf_regimetype,gwf_personal,gwf_years_matched
Q201327,Gyanendra,790,NPL,Nepal,2005,2006,0.3380219775671132,0.6609659558786374,-0.2765514089584333,-0.4975754319795693,monarchy,0.0,2
Q204487,Zine Al-Abidine Ben Ali,616,TUN,Tunisia,1987,2011,0.3380219775671132,0.6609659558786374,-0.2765514089584333,-0.4975754319795693,party-based,0.0,24
Q206479,Emile Lahoud,660,LBN,Lebanon,1998,2007,0.3380219775671132,0.6609659558786374,-0.2765514089584333,-0.4975754319795693,,,0
Q336218,Soglo,434,BEN,Benin,1965,1967,0.3380219775671132,0.6609659558786374,-0.2765514089584333,-0.4975754319795693,military,0.0,3
Q57402,Daniel Ortega,93,NIC,Nicaragua,1979,1990,0.3380219775671132,0.6609659558786374,-0.2765514089584333,-0.4975754319795693,party-based,0.0,12
Q627267,Mwambutsa,516,BDI,Burundi,1962,1966,0.3380219775671132,0.6609659558786374,-0.2765514089584333,-0.4975754319795693,monarchy,0.0,4
Q886540,Siles Salinas,145,BOL,Bolivia,1969,1969,0.3380219775671132,0.6609659558786374,-0.2765514089584333,-0.4975754319795693,personal,1.0,1
Q155824,Kubitschek,140,BRA,Brazil,1956,1961,0.3353340418334399,0.6339339106521236,-0.1605514634241276,0.0209419616921552,,,0
Q177917,Nagy,310,HUN,Hungary,1956,1956,0.3353340418334399,0.6339339106521236,-0.1605514634241276,0.0209419616921552,party-based,0.0,1
Q190071,Ayub Khan,770,PAK,Pakistan,1958,1969,0.3353340418334399,0.6339339106521236,-0.1605514634241276,0.0209419616921552,military-personal,1.0,12
Q3346340,Syed Nazrul Islam,771,BGD,Bangladesh,1971,1972,0.3353340418334399,0.6339339106521236,-0.1605514634241276,0.0209419616921552,party-personal,1.0,1
Q5621,Idi Amin,500,UGA,Uganda,1971,1979,0.3234842417906555,0.6821654790232786,-0.1878336575930884,-0.0591807463690871,personal,1.0,9
Q161672,Lumumba,490,COD,Congo-Kinshasa,1960,1960,0.3232920812225434,0.606457841960652,-0.1587741737425446,0.5767620635241888,,,0
Q294430,Castello Branco,140,BRA,Brazil,1964,1967,0.3232920812225434,0.606457841960652,-0.1587741737425446,0.5767620635241888,military,0.0,3
Q296679,Dutra,140,BRA,Brazil,1946,1951,0.3232920812225434,0.606457841960652,-0.1587741737425446,0.5767620635241888,,,0
Q471315,Parri,325,ITA,Italy,1945,1945,0.3232920812225434,0.606457841960652,-0.1587741737425446,0.5767620635241888,,,0
Q152534,Stroessner,150,PRY,Paraguay,1954,1989,0.2957462146823462,0.6266152014746739,-0.157072297581096,0.2656205222627907,party-personal-military,1.0,36
Q202553,Than Shwe,775,MMR,Myanmar,1992,2011,0.2957462146823462,0.6266152014746739,-0.157072297581096,0.2656205222627907,military,0.0,19
Q313300,Goh Chok Tong,830,SGP,Singapore,1990,2004,0.2957462146823462,0.6266152014746739,-0.157072297581096,0.2656205222627907,party-based,0.0,15
Q315522,Ne Win,775,MMR,Myanmar,1962,1988,0.2957462146823462,0.6266152014746739,-0.157072297581096,0.2656205222627907,military-personal,1.0,26
Q57274,Museveni,500,UGA,Uganda,1986,2015,0.2884398200790734,0.6258006048089617,-0.272321476302752,0.3149056960527631,personal,1.0,24
Q57373,Zardari,770,PAK,Pakistan,2008,2013,0.2884398200790734,0.6258006048089617,-0.272321476302752,0.3149056960527631,military-personal,1.0,1
Q313400,Lon Nol,811,KHM,Cambodia,1970,1975,0.2724324503746694,0.5811903575559737,1.966715076563393,-0.504299347401112,personal,1.0,6
Q379197,Heng Samrin,811,KHM,Cambodia,1979,1985,0.2724324503746694,0.5811903575559737,1.966715076563393,-0.504299347401112,party-based,0.0,7
Q969062,Ioseliani,372,GEO,Georgia,1992,1992,0.2724324503746694,0.5811903575559737,1.966715076563393,-0.504299347401112,personal,1.0,1
